0   toth*       16915
1   tagg*       3217
2   rays*       2665
3   slin*       1759
4   truk*       1490
5   sideshow*   1019
6   banny*      683
7   jerma*      497
8   uncle*      363
9   geta*       354
10  tftv*       160
