#start
# timestamp, 	data
1474010580,	29392
1474010581,	29392
1474010640,	29392
1474010701,	29392
1474010701,	29392
1474010760,	29392
1474010821,	29392
1474010821,	29392
1474010880,	29392
1474010941,	29392
1474010941,	29392
1474011001,	29392
1474011060,	29392
1474011060,	29392
1474011121,	29392
1474011180,	29402
1474011181,	29402
1474011240,	29402
1474011300,	29402
1474011301,	29402
1474011360,	29402
1474011420,	29402
1474011420,	29402
1474011481,	29402
1474011540,	29402
1474011541,	29402
1474011601,	29402
1474011660,	29402
1474011661,	29402
1474011720,	29402
1474011781,	29402
1474011782,	29402
1474011841,	29402
1474011900,	29402
1474011900,	29402
1474011961,	29402
1474012020,	29402
1474012021,	29402
1474012080,	29402
1474012140,	29402
1474012141,	29402
1474012200,	29402
1474012261,	29402
1474012261,	29402
1474012320,	29402
1474012381,	29402
1474012381,	29402
1474012441,	29402
1474012500,	29402
1474012500,	29402
1474012561,	29402
1474012620,	29402
1474012620,	29402
1474012681,	29402
1474012740,	29402
1474012741,	29402
1474012800,	29402
1474012860,	29402
1474012861,	29402
1474012920,	29402
1474012981,	29402
1474012982,	29402
1474013040,	29402
1474013100,	29402
1474013101,	29402
1474013160,	29402
1474013221,	29402
1474013221,	29402
1474013281,	29402
1474013340,	29402
1474013340,	29402
1474013401,	29402
1474013460,	29402
1474013461,	29402
1474013520,	29402
1474013580,	29404
1474013581,	29404
1474013640,	29404
1474013701,	29404
1474013701,	29404
1474013760,	29404
1474013821,	29404
1474013821,	29404
1474013881,	29404
1474013940,	29404
1474013940,	29404
1474014001,	29404
1474014060,	29404
1474014061,	29404
1474014120,	29404
1474014180,	29404
1474014181,	29404
1474014240,	29404
1474014301,	29404
1474014301,	29404
1474014361,	29404
1474014420,	29414
1474014420,	29414
1474014481,	29414
1474014540,	29414
1474014541,	29414
1474014600,	29414
1474014660,	29414
1474014661,	29414
1474014720,	29414
1474014780,	29414
1474014781,	29414
1474014840,	29414
1474014901,	29414
1474014901,	29414
1474014961,	29414
1474015020,	29414
1474015020,	29414
1474015081,	29414
1474015140,	29425
1474015141,	29425
1474015200,	29425
1474015260,	29425
1474015261,	29425
1474015320,	29425
1474015380,	29455
1474015381,	29455
1474015440,	29455
1474015501,	29455
1474015501,	29455
1474015561,	29455
1474015620,	29455
1474015621,	29455
1474015680,	29455
1474015740,	29455
1474015741,	29455
1474015800,	29455
1474015861,	29455
1474015861,	29455
1474015920,	29455
1474015981,	29455
1474015981,	29455
1474016041,	29455
1474016100,	29455
1474016100,	29455
1474016161,	29455
1474016220,	29455
1474016221,	29455
