720,	4552
721,	4304
722,	4137
723,	3846
724,	3796
725,	3960
726,	4233
727,	4322
728,	3898
729,	3409
730,	4344
731,	3853
732,	4324
733,	4962
734,	4849
735,	4331
736,	4348
737,	5004
738,	4890
739,	4461
740,	4636
741,	4067
742,	4150
743,	4934
744,	4314
745,	4007
746,	3649
747,	4398
748,	4301
749,	3677
750,	3769
751,	3827
752,	4288
753,	3823
754,	3888
755,	4098
756,	3977
757,	4635
758,	4880
759,	4117
760,	4319
761,	4307
762,	4290
763,	4892
764,	4086
765,	4402
766,	4246
767,	4512
768,	4464
769,	5143
770,	4671
771,	4448
772,	4119
773,	4591
774,	4403
775,	4239
776,	3706
777,	3685
778,	4560
779,	4363
780,	4552
781,	4304
782,	4137
783,	3846
784,	3796
785,	3960
786,	4233
787,	4322
788,	3898
789,	3409
790,	4344
791,	3853
792,	4324
793,	4962
794,	4849
795,	4331
796,	4348
797,	5004
798,	4890
799,	4461
800,	4636
801,	4067
802,	4150
803,	4934
804,	4314
805,	4007
806,	3649
807,	4398
808,	4301
809,	3677
810,	3769
811,	3827
812,	4288
813,	3823
814,	3888
815,	4098
816,	3977
817,	4635
818,	4880
819,	4117
820,	4319
821,	4307
822,	4290
823,	4892
824,	4086
825,	4402
826,	4246
827,	4512
828,	4464
829,	5143
830,	4671
831,	4448
832,	4119
833,	4591
834,	4403
835,	4239
836,	3706
837,	3685
838,	4560
839,	4363
840,	4552
841,	4304
842,	4137
843,	3846
844,	3796
845,	3960
846,	4233
847,	4322
848,	3898
849,	3409
850,	4344
851,	3853
852,	4324
853,	4962
854,	4849
855,	4331
856,	4348
857,	5004
858,	4890
859,	4461
860,	4636
861,	4067
862,	4150
863,	4934
864,	4314
865,	4007
866,	3649
867,	4398
868,	4301
869,	3677
870,	3769
871,	3827
872,	4288
873,	3823
874,	3888
875,	4098
876,	3977
877,	4635
878,	4880
879,	4117
880,	4319
881,	4307
882,	4290
883,	4892
884,	4086
885,	4402
886,	4246
887,	4512
888,	4464
889,	5143
890,	4671
891,	4448
892,	4119
893,	4591
894,	4403
895,	4239
896,	3706
897,	3685
898,	4560
899,	4363
900,	4552
901,	4304
902,	4137
903,	3846
904,	3796
905,	3960
906,	4233
907,	4322
908,	3898
909,	3409
910,	4344
911,	3853
912,	4324
913,	4962
914,	4849
915,	4331
916,	4348
917,	5004
918,	4890
919,	4461
920,	4636
921,	4067
922,	4150
923,	4934
924,	4314
925,	4007
926,	3649
927,	4398
928,	4301
929,	3677
930,	3769
931,	3827
932,	4288
933,	3823
934,	3888
935,	4098
936,	3977
937,	4635
938,	4880
939,	4117
940,	4319
941,	4307
942,	4290
943,	4892
944,	4086
945,	4402
946,	4246
947,	4512
948,	4464
949,	5143
950,	4671
951,	4448
952,	4119
953,	4591
954,	4403
955,	4239
956,	3706
957,	3685
958,	4560
959,	4363
960,	4552
961,	4304
962,	4137
963,	3846
964,	3796
965,	3960
966,	4233
967,	4322
968,	3898
969,	3409
970,	4344
971,	3853
972,	4324
973,	4962
974,	4849
975,	4331
976,	4348
977,	5004
978,	4890
979,	4461
980,	4636
981,	4067
982,	4150
983,	4934
984,	4314
985,	4007
986,	3649
987,	4398
988,	4301
989,	3677
990,	3769
991,	3827
992,	4288
993,	3823
994,	3888
995,	4098
996,	3977
997,	4635
998,	4880
999,	4117
1000,	4319
1001,	4307
1002,	4290
1003,	4892
1004,	4086
1005,	4402
1006,	4246
1007,	4512
1008,	4464
1009,	5143
1010,	4671
1011,	4448
1012,	4119
1013,	4591
1014,	4403
1015,	4239
1016,	3706
1017,	3685
1018,	4560
1019,	4363
1020,	4552
1021,	4304
1022,	4137
1023,	3846
1024,	3796
1025,	3960
1026,	4233
1027,	4322
1028,	3898
1029,	3409
1030,	4344
1031,	3853
1032,	4324
1033,	4962
1034,	4849
1035,	4331
1036,	4348
1037,	5004
1038,	4890
1039,	4461
1040,	4636
1041,	4067
1042,	4150
1043,	4934
1044,	4314
1045,	4007
1046,	3649
1047,	4398
1048,	4301
1049,	3677
1050,	3769
1051,	3827
1052,	4288
1053,	3823
1054,	3888
1055,	4098
1056,	3977
1057,	4635
1058,	4880
1059,	4117
1060,	4319
1061,	4307
1062,	4290
1063,	4892
1064,	4086
1065,	4402
1066,	4246
1067,	4512
1068,	4464
1069,	5143
1070,	4671
1071,	4448
1072,	4119
1073,	4591
1074,	4403
1075,	4239
1076,	3706
1077,	3685
1078,	4560
1079,	4363
1080,	4552
1081,	4304
1082,	4137
1083,	3846
1084,	3796
1085,	3960
1086,	4233
1087,	4322
1088,	3898
1089,	3409
1090,	4344
1091,	3853
1092,	4324
1093,	4962
1094,	4849
